No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
22,Signals & Slots,Use Q_PROPERTY for data binding,Expose C++ properties to QML via Q_PROPERTY with NOTIFY,Q_PROPERTY with READ WRITE NOTIFY for reactive bindings,Polling C++ from QML in a Timer,Q_PROPERTY(int count READ count NOTIFY countChanged),QTimer polling every 200ms to read C++ value,High,https://doc.qt.io/qt-6/properties.html
23,Signals & Slots,Use QML connections cleanly,Prefer Connections type over imperative signal.connect(),Connections { target: backend; function onDataReady() {} },Imperative myObj.signal.connect(handler) scattered in JS,Connections { target: model; function onRowsInserted() { listView.forceLayout() } },backend.dataReady.connect(function() { ... }) in Component.onCompleted,Medium,https://doc.qt.io/qt-6/qml-qtqml-connections.html
24,Signals & Slots,Avoid binding loops,Ensure property bindings have no circular dependencies,Use Binding object or explicit assignment to break cycles,Two properties that mutually bind each other,Binding { target: slider; property: ""value""; value: spinBox.value },slider.value: spinBox.value and spinBox.value: slider.value,High,https://doc.qt.io/qt-6/qtqml-syntax-propertybinding.html
25,Performance,Use delegate pooling in ListView,Reuse delegate instances to reduce allocation churn,Set reuseItems: true on ListView (Qt 5.15+),New delegate created and destroyed on every scroll,"ListView { reuseItems: true; delegate: ItemDelegate { onReused: reset() } }",ListView with no reuseItems; heavy delegates,High,https://doc.qt.io/qt-6/qml-qtquick-listview.html
26,Performance,Use QAbstractItemModel for large data,C++ model is faster than QML ListModel for 100+ items,Subclass QAbstractListModel in C++ for dynamic datasets,QML ListModel with 500+ dynamically inserted items,class MyModel : public QAbstractListModel { ... },ListModel { id: bigModel } with 500 ListElement items,High,https://doc.qt.io/qt-6/qabstractlistmodel.html
27,Performance,Avoid JS in bindings critical path,Minimize JavaScript in property bindings; prefer pure QML expressions,Simple expressions in bindings; move heavy logic to C++,Complex JS functions called in frequently-evaluated bindings,"width: parent.width * 0.5","width: calculateWidth(parent.width, margin, scale)",Medium,https://doc.qt.io/qt-6/qtquick-performance.html
28,Performance,Use asynchronous image loading,Load images off the main thread to keep UI responsive,Image asynchronous: true for non-critical images; show placeholder,Synchronously load all images in Component.onCompleted,"Image { source: url; asynchronous: true; fillMode: Image.PreserveAspectCrop }","Image { source: heavyUrl; cache: false }",High,https://doc.qt.io/qt-6/qml-qtquick-image.html
29,Performance,Reduce layer creation,Avoid layer.enabled on many items; layers cost GPU memory,Use layer.enabled only for complex effect compositing,Apply layer.enabled to every list delegate,"Item { layer.enabled: true; layer.effect: DropShadow {} } on the single card",layer.enabled: true on every list delegate,Medium,https://doc.qt.io/qt-6/qml-qtquick-item.html#layer-group
30,Performance,Minimise bindings on ListView delegates,Fewer active bindings per delegate = faster scrolling,Cache delegate height; avoid complex expression chains in delegate body,Dynamic font metrics or heavy operations in delegate bindings,delegate: ItemDelegate { height: 56; text: model.name },delegate: ItemDelegate { height: textMetrics.height + 20; text: model.name.toUpperCase() },Medium,https://doc.qt.io/qt-6/qtquick-performance.html
31,Animation,Use Behavior for property transitions,Attach smooth animations to property changes declaratively,Behavior on value for simple spring-like property animations,Manually starting/stopping PropertyAnimation imperatively,"Behavior on opacity { NumberAnimation { duration: 200; easing.type: Easing.OutCubic } }","opacity = 0; opacityAnimation.start()",Medium,https://doc.qt.io/qt-6/qml-qtquick-behavior.html
32,Animation,Use states and transitions,Declare UI states and animate between them declaratively,states + transitions for discrete UI state changes (open/closed),Manually toggling multiple properties from JS,"states: [ State { name: ""open""; PropertyChanges { target: panel; height: 200 } } ]; transitions: Transition { NumberAnimation {} }","if (open) { panel.height = 200; panel.opacity = 1 } else { ... }",High,https://doc.qt.io/qt-6/qtquick-statesanimations-states.html
33,Animation,Keep animation duration 150–300ms,Micro-interaction duration that feels snappy but smooth,NumberAnimation duration: 200 for entry; 150 for exit,Animations over 500ms for routine UI feedback,NumberAnimation { duration: 200; easing.type: Easing.OutCubic },NumberAnimation { duration: 800 } for a button press,Medium,https://doc.qt.io/qt-6/qml-qtquick-numberanimation.html
34,Animation,Animate only transform and opacity,GPU-accelerated properties for smooth 60fps,Use x y scale rotation opacity for animations,Animate width height anchors causing layout re-evaluation,"NumberAnimation { target: card; property: ""x""; to: 0; duration: 250 }","NumberAnimation { target: card; property: ""width""; to: 300 }",High,https://doc.qt.io/qt-6/qtquick-performance.html
35,Animation,Respect reduced motion preference,Disable or reduce animations when accessibility setting is on,Check Qt.styleHints.reducedMotionEnabled and skip Behaviors,Always run animations regardless of accessibility settings,"Behavior on opacity { enabled: !Qt.styleHints.reducedMotionEnabled; NumberAnimation { duration: 200 } }",Behavior on opacity { NumberAnimation { duration: 200 } } always active,High,https://doc.qt.io/qt-6/qml-qtqml-qt.html#styleHints-prop
36,Accessibility,Add accessible name to all controls,Screen readers announce the Accessible.name of each element,Set Accessible.name on every interactive item and image,Leave controls with no accessible description,"Accessible.name: qsTr(""Send message""); Accessible.role: Accessible.Button","Button { text: """" } with no accessible name",High,https://doc.qt.io/qt-6/accessible-qwidget.html
37,Accessibility,Set Accessible.role,Communicate widget semantics to assistive technology,Set Accessible.role matching the control's function (Button Slider etc.),Default role for all elements regardless of their function,"Accessible.role: Accessible.CheckBox",Accessible.role: Accessible.NoRole on a slider,High,https://doc.qt.io/qt-6/qml-qtquick-accessible.html
38,Accessibility,Ensure keyboard navigation,All interactive elements reachable by Tab and arrow keys,activeFocusOnTab: true; handle Keys.onReturnPressed,Mouse-only flows with no keyboard equivalent,activeFocusOnTab: true; Keys.onReturnPressed: clicked(),MouseArea only with no keyboard interaction support,High,https://doc.qt.io/qt-6/focus.html
39,Accessibility,Minimum touch target 44×44pt,Meet platform tap-target guidelines for touchscreen deployments,Ensure interactive areas are at least 44×44 logical pixels,Small 16×16 icons with no hit-area expansion,"width: 44; height: 44; Accessible.role: Accessible.Button","width: 16; height: 16; MouseArea { anchors.fill: parent }",High,https://doc.qt.io/qt-6/qtquick-input-topic.html
40,Accessibility,Support Dynamic Type / scalable text,Text must scale with system font size setting,Use sp units via Qt's logical pixel system; avoid fixed pixel fonts,Fixed pixel font sizes that ignore system scaling,"font.pixelSize: 16 * Screen.devicePixelRatio","font.pixelSize: 16",Medium,https://doc.qt.io/qt-6/highdpi.html
41,Forms,Use TextInput with validator,Validate input at the QML level before C++ processing,IntValidator DoubleValidator or RegularExpressionValidator on inputs,Accept all input and validate only in C++,"TextInput { validator: IntValidator { bottom: 0; top: 999 } }","TextInput { onEditingFinished: backend.validate(text) }",Medium,https://doc.qt.io/qt-6/qml-qtquick-textinput.html
42,Forms,Show inline error messages,Display validation errors near the offending field,Text with error color below field; update on editingFinished,Show all errors in a dialog at the end,Column { TextField {}; Text { visible: !valid; color: Theme.errorColor; text: qsTr("Required") } },Dialog { text: allErrors.join('\n') } shown on submit,Medium,
43,Forms,Use focus scoping,Manage focus with FocusScope to avoid global Tab order issues,Wrap logical form groups in FocusScope,Let focus leak across unrelated UI regions,"FocusScope { id: loginForm; focus: true; Column { TextField {} TextField {} } }",All TextFields in root scope with uncontrolled Tab order,Medium,https://doc.qt.io/qt-6/qtquick-input-focus.html
44,Forms,Disable submit during async ops,Prevent double submission with button disabled state,Set Button enabled: false while a backend call is in progress,Allow re-clicking submit while request is pending,"Button { text: qsTr(""Save""); enabled: !backend.isBusy }","Button { text: qsTr(""Save""); onClicked: backend.save() }",High,
45,C++ Integration,Use QML singletons for services,Expose backend services as QML singletons for easy import,Register C++ class as singleton with qmlRegisterSingletonType,Pass objects through deeply nested property chains,qmlRegisterSingletonType<AuthService>(...); import AuthService in QML,root.controller.authController.loginService.login(user pass),High,https://doc.qt.io/qt-6/qqmlengine.html#qmlRegisterSingletonType
46,C++ Integration,Use QML_ELEMENT macro,Qt 6 native type registration without manual qmlRegisterType,Add QML_ELEMENT in C++ class and CMake qml_add_module,Old qmlRegisterType<> calls in main.cpp,class MyModel : public QAbstractListModel { Q_OBJECT; QML_ELEMENT },qmlRegisterType<MyModel>("com.example" 1 0 "MyModel") in main.cpp,Medium,https://doc.qt.io/qt-6/qqmlengine.html#QML_ELEMENT
47,C++ Integration,Avoid Qt Object model violations,Never access QML-created objects from C++ threads,Emit signals from background threads; update QML only on main thread,Set QML property values directly from worker threads,"emit dataReady(result) from worker thread; Connections receives on main thread","qmlItem->setProperty(""text"", value) from QThread",High,https://doc.qt.io/qt-6/thread-basics.html
48,HiDPI,Use logical pixels not physical pixels,Qt automatically scales logical pixels; use them everywhere,Logical pixel values for all sizes; let Qt handle device pixel ratio,Physical pixel math (width * devicePixelRatio) in QML layout,width: 48 (logical pixels; Qt scales for Retina/HiDPI),width: 48 * Screen.devicePixelRatio (manual scaling),High,https://doc.qt.io/qt-6/highdpi.html
49,HiDPI,Provide @2x and @3x image assets,Supply high-resolution image variants for sharp rendering on HiDPI,Use Qt's @2x suffix convention for auto-selection,Single 1x PNG for all densities,icon.png + icon@2x.png; Qt selects automatically,Image { source: ""icon.png"" } with no HiDPI variant,Medium,https://doc.qt.io/qt-6/highdpi.html
50,Testing,Use Qt Quick Test for QML unit tests,Automated QML component testing in CI,TestCase in QML with Qt Quick Test runner,Manual visual testing only,"TestCase { name: ""ButtonTest""; function test_click() { compare(button.text, ""OK"") } }",No automated test coverage for QML components,Medium,https://doc.qt.io/qt-6/qml-qttest-testcase.html
51,Testing,Test on target hardware / display,Real device rendering differs from desktop preview,Test on actual hardware (embedded / mobile) with target DPI,Assume desktop simulator matches target device,Run on Raspberry Pi / Qt for Device Creation build for embedded,Deploy only to Qt Creator simulator,High,
52,Localization,Use qsTr for all visible strings,Support future translations from day one,Wrap all user-visible strings in qsTr(),Hardcoded English strings in QML,"text: qsTr(""Settings"")","text: ""Settings""",High,https://doc.qt.io/qt-6/i18n-source-translation.html
53,Localization,Use LayoutMirroring for RTL,Right-to-left language support via mirroring,LayoutMirroring.enabled: Qt.application.layoutDirection === Qt.RightToLeft,Hardcoded left-anchors that break RTL,LayoutMirroring { enabled: Qt.application.layoutDirection === Qt.RightToLeft; childrenInherit: true },No RTL support; layout breaks for Arabic/Hebrew,Medium,https://doc.qt.io/qt-6/qml-qtquick-layoutmirroring.html
